Country,Year,Value,Max,Min
afganistan,2021,39.13,63.65,20.86
afganistan,2020,39.37,64.19,20.91
afganistan,2019,39.45,63.8,20.91
afganistan,2018,39.23,63.66,20.9
afganistan,2017,38.97,62.35,21.38
afganistan,2016,38.76,61.41,21.42
albania,2021,76.81,128.79,31.95
albania,2020,74.97,125.9,31.52
albania,2019,74.23,123.67,31.39
albania,2018,72.49,121.38,30.99
albania,2017,71.08,120.35,30.5
albania,2016,68.06,115.58,28.51
alemania,2021,99.29,162.54,45.67
alemania,2020,100.26,163.5,46.08
alemania,2019,98.99,161.77,45.46
alemania,2018,100.31,162.58,46.78
alemania,2017,100.31,161.32,47.34
alemania,2016,100.91,162.19,48.08
andorra,2021,50.81,88.81,22.85
andorra,2020,49.26,85.37,22.14
andorra,2019,56.51,95.85,25.76
andorra,2018,56.39,95.3,26.0
andorra,2017,55.61,93.96,25.68
andorra,2016,54.18,90.81,24.98
angola,2021,20.99,33.62,11.81
angola,2020,20.48,32.57,11.68
angola,2019,19.77,30.86,11.25
angola,2018,19.06,29.45,10.9
angola,2017,18.43,28.73,10.79
angola,2016,17.78,27.61,10.47
antigua-barbuda,2021,106.38,152.22,65.66
antigua-barbuda,2020,100.56,144.83,61.9
antigua-barbuda,2019,107.29,154.74,65.99
antigua-barbuda,2018,102.51,148.87,64.64
antigua-barbuda,2017,98.85,143.22,63.18
antigua-barbuda,2016,94.85,137.52,58.38
arabia-saudita,2021,73.1,107.26,40.98
arabia-saudita,2020,70.63,103.0,39.28
arabia-saudita,2019,68.37,100.05,39.1
arabia-saudita,2018,66.16,96.88,38.62
arabia-saudita,2017,64.25,92.8,37.48
arabia-saudita,2016,62.57,90.07,36.71
argelia,2021,60.08,90.95,33.18
argelia,2020,58.61,87.89,33.06
argelia,2019,57.17,84.98,32.22
argelia,2018,54.88,81.45,30.8
argelia,2017,52.13,77.24,29.26
argelia,2016,50.25,74.19,28.76
argentina,2021,67.47,101.64,35.75
argentina,2020,71.66,108.27,38.65
argentina,2019,73.16,110.41,39.56
argentina,2018,72.83,109.99,39.23
argentina,2017,73.17,110.23,39.36
argentina,2016,74.98,112.51,40.15
armenia,2021,92.45,145.07,43.53
armenia,2020,94.18,147.96,45.87
armenia,2019,92.1,142.48,44.11
armenia,2018,93.72,144.81,45.65
armenia,2017,96.75,148.54,48.44
armenia,2016,99.62,153.33,48.87
australia,2021,58.18,96.11,21.27
australia,2020,55.23,91.7,20.06
australia,2019,57.31,95.39,21.03
australia,2018,55.55,92.71,20.25
australia,2017,56.0,93.33,20.9
australia,2016,56.19,93.76,21.15
austria,2021,81.58,130.27,39.08
austria,2020,86.16,135.98,42.02
austria,2019,84.84,133.53,41.89
austria,2018,87.03,136.77,42.68
austria,2017,86.16,134.73,42.28
austria,2016,87.84,136.29,43.77
azerbaiyan,2021,70.89,115.43,33.86
azerbaiyan,2020,71.64,111.96,33.92
azerbaiyan,2019,72.65,111.19,34.9
azerbaiyan,2018,72.49,110.53,34.78
azerbaiyan,2017,74.86,115.25,35.27
azerbaiyan,2016,73.11,111.54,34.74
bahamas,2021,103.56,148.37,65.53
bahamas,2020,102.05,144.21,63.81
bahamas,2019,100.73,141.14,63.94
bahamas,2018,98.13,136.58,63.27
bahamas,2017,95.92,131.25,63.22
bahamas,2016,94.83,129.19,62.85
banglades,2021,17.22,28.67,8.15
banglades,2020,16.58,27.32,7.87
banglades,2019,15.88,26.07,7.86
banglades,2018,15.15,24.82,7.51
banglades,2017,14.41,23.3,7.07
banglades,2016,13.39,21.68,6.67
barbados,2021,146.13,228.46,71.28
barbados,2020,145.08,224.31,70.74
barbados,2019,148.1,229.34,74.59
barbados,2018,140.49,218.01,72.16
barbados,2017,135.13,207.68,69.79
barbados,2016,130.9,199.31,67.52
barein,2021,62.17,91.71,31.77
barein,2020,57.91,84.41,29.82
barein,2019,54.07,78.0,27.57
barein,2018,50.89,73.38,25.81
barein,2017,49.13,70.79,24.93
barein,2016,47.33,68.25,24.37
belgica,2021,53.31,90.25,19.63
belgica,2020,55.31,94.55,20.93
belgica,2019,55.73,94.74,20.7
belgica,2018,55.88,94.49,20.59
belgica,2017,55.81,93.82,20.58
belgica,2016,56.11,93.46,20.88
belice,2021,62.44,88.13,35.54
belice,2020,61.41,85.16,35.87
belice,2019,62.85,87.47,36.57
belice,2018,61.93,85.39,36.28
belice,2017,59.68,81.67,35.4
belice,2016,57.9,79.79,34.31
benin,2021,18.74,29.73,10.32
benin,2020,18.65,29.74,10.33
benin,2019,18.22,28.96,10.29
benin,2018,17.93,28.34,10.07
benin,2017,18.03,27.92,9.98
benin,2016,17.95,27.88,10.05
bielorrusia,2021,134.69,235.55,46.11
bielorrusia,2020,134.16,231.5,46.43
bielorrusia,2019,132.22,225.05,47.48
bielorrusia,2018,127.74,217.6,46.21
bielorrusia,2017,123.38,210.97,44.33
bielorrusia,2016,122.77,208.93,44.19
birmania,2021,35.13,55.67,18.39
birmania,2020,34.33,53.64,18.25
birmania,2019,33.45,52.12,17.83
birmania,2018,32.63,50.42,17.69
birmania,2017,31.88,48.99,17.42
birmania,2016,31.23,47.82,16.89
bolivia,2021,52.94,84.34,25.84
bolivia,2020,53.23,85.24,26.12
bolivia,2019,52.79,83.92,26.51
bolivia,2018,51.44,81.38,26.31
bolivia,2017,50.15,79.16,25.39
bolivia,2016,49.04,76.17,24.74
bosnia-herzegovina,2021,122.4,194.49,53.25
bosnia-herzegovina,2020,128.46,203.67,57.02
bosnia-herzegovina,2019,125.55,200.12,56.15
bosnia-herzegovina,2018,119.58,190.3,53.13
bosnia-herzegovina,2017,117.36,184.37,52.72
bosnia-herzegovina,2016,114.41,179.11,51.69
botsuana,2021,48.68,72.41,25.39
botsuana,2020,48.15,71.69,25.5
botsuana,2019,46.6,69.95,24.93
botsuana,2018,45.5,69.58,24.6
botsuana,2017,45.38,70.03,25.29
botsuana,2016,46.59,70.75,25.58
brasil,2021,59.71,90.42,28.98
brasil,2020,59.86,90.44,29.98
brasil,2019,57.73,87.52,28.59
brasil,2018,56.11,84.96,27.75
brasil,2017,55.12,83.41,27.4
brasil,2016,54.53,82.73,27.0
brunei,2021,35.93,54.66,17.64
brunei,2020,35.36,54.78,17.21
brunei,2019,34.92,53.19,17.31
brunei,2018,34.43,52.97,17.09
brunei,2017,33.8,51.92,16.83
brunei,2016,33.22,50.86,16.56
bulgaria,2021,275.95,398.17,172.36
bulgaria,2020,281.7,394.33,177.09
bulgaria,2019,273.48,384.9,173.14
bulgaria,2018,274.3,384.93,173.52
bulgaria,2017,272.96,383.6,174.55
bulgaria,2016,271.73,384.34,174.48
burkina-faso,2021,12.02,18.49,7.52
burkina-faso,2020,12.05,18.24,7.51
burkina-faso,2019,12.11,18.37,7.61
burkina-faso,2018,12.12,18.17,7.55
burkina-faso,2017,12.19,18.32,7.54
burkina-faso,2016,12.06,18.27,7.43
burundi,2021,10.45,16.65,5.85
burundi,2020,10.19,16.35,5.73
burundi,2019,10.0,15.84,5.68
burundi,2018,9.83,15.42,5.58
burundi,2017,9.64,14.89,5.51
burundi,2016,9.36,14.3,5.35
butan,2021,31.8,53.69,16.4
butan,2020,30.8,52.24,15.99
butan,2019,29.68,49.23,15.23
butan,2018,28.67,47.45,14.86
butan,2017,27.71,45.66,14.33
butan,2016,26.88,44.08,13.84
cabo-verde,2021,44.26,72.2,23.26
cabo-verde,2020,43.49,69.69,23.07
cabo-verde,2019,42.55,68.13,22.5
cabo-verde,2018,41.75,66.14,22.12
cabo-verde,2017,36.82,59.51,19.59
cabo-verde,2016,35.45,56.51,18.63
camboya,2021,19.32,29.96,10.88
camboya,2020,18.75,29.1,10.45
camboya,2019,18.14,28.14,10.19
camboya,2018,17.55,27.2,9.95
camboya,2017,16.93,26.23,9.83
camboya,2016,16.32,25.24,9.48
camerun,2021,36.5,57.55,19.2
camerun,2020,36.62,57.85,18.97
camerun,2019,36.54,56.84,18.87
camerun,2018,36.35,57.33,18.52
camerun,2017,36.15,57.1,18.28
camerun,2016,36.25,56.92,18.07
canada,2021,59.04,95.94,23.37
canada,2020,59.6,96.43,23.45
canada,2019,60.66,97.73,24.13
canada,2018,59.91,96.46,23.62
canada,2017,58.97,95.33,23.05
canada,2016,57.58,93.11,22.31
catar,2021,24.24,37.09,12.07
catar,2020,23.5,36.16,11.88
catar,2019,23.86,36.51,12.14
catar,2018,23.88,36.53,12.08
catar,2017,23.76,35.74,12.17
catar,2016,23.89,35.71,12.18
chad,2021,14.18,22.77,7.78
chad,2020,14.29,23.07,7.82
chad,2019,14.3,23.05,7.79
chad,2018,14.29,23.21,7.79
chad,2017,14.26,23.18,7.75
chad,2016,14.22,23.2,7.84
chile,2021,59.64,91.18,31.17
chile,2020,58.15,88.27,30.69
chile,2019,60.57,91.65,32.35
chile,2018,59.52,90.28,31.63
chile,2017,61.54,93.06,32.44
chile,2016,61.34,93.27,32.43
china,2021,40.46,64.93,20.47
china,2020,38.32,61.58,18.48
china,2019,36.41,57.68,18.26
china,2018,34.71,54.74,17.4
china,2017,33.24,52.65,17.04
china,2016,31.7,50.56,16.99
chipre,2021,61.32,99.94,29.85
chipre,2020,60.86,99.3,29.98
chipre,2019,62.58,100.87,30.28
chipre,2018,60.41,97.03,29.77
chipre,2017,59.15,94.5,29.25
chipre,2016,57.77,91.39,28.57
colombia,2021,42.84,68.36,19.94
colombia,2020,41.66,65.75,20.11
colombia,2019,39.57,62.49,19.47
colombia,2018,39.45,61.94,19.73
colombia,2017,37.17,57.93,18.62
colombia,2016,36.51,56.47,18.3
comoras,2021,36.26,58.42,20.39
comoras,2020,35.08,56.76,19.87
comoras,2019,33.5,53.42,18.71
comoras,2018,32.11,51.35,17.95
comoras,2017,31.53,49.69,18.1
comoras,2016,30.6,48.1,17.41
congo,2021,46.63,71.97,26.38
congo,2020,45.74,70.81,25.71
congo,2019,44.42,69.49,25.32
congo,2018,43.18,67.16,24.45
congo,2017,42.05,65.87,23.57
congo,2016,41.09,63.39,23.17
corea-del-norte,2021,39.33,67.48,20.22
corea-del-norte,2020,37.7,64.38,19.26
corea-del-norte,2019,36.18,61.39,19.2
corea-del-norte,2018,34.76,58.59,18.76
corea-del-norte,2017,33.36,56.19,18.18
corea-del-norte,2016,32.14,54.35,17.37
corea-del-sur,2021,28.06,45.61,12.72
corea-del-sur,2020,25.72,42.6,11.7
corea-del-sur,2019,24.98,40.19,11.44
corea-del-sur,2018,24.26,39.33,11.14
corea-del-sur,2017,23.22,38.06,10.6
corea-del-sur,2016,22.58,36.78,10.35
costa-marfil,2021,24.76,39.3,13.5
costa-marfil,2020,24.58,38.81,13.4
costa-marfil,2019,24.26,38.58,13.14
costa-marfil,2018,24.44,38.35,13.18
costa-marfil,2017,24.36,37.79,13.13
costa-marfil,2016,24.21,37.33,12.99
costa-rica,2021,54.04,82.8,27.58
costa-rica,2020,50.98,77.27,26.69
costa-rica,2019,51.41,78.63,26.9
costa-rica,2018,48.59,74.5,25.56
costa-rica,2017,45.86,69.45,23.78
costa-rica,2016,43.6,66.73,22.42
croacia,2021,135.51,217.38,62.49
croacia,2020,132.83,212.85,63.39
croacia,2019,130.41,207.0,61.19
croacia,2018,131.02,205.78,61.46
croacia,2017,129.88,206.59,61.61
croacia,2016,125.66,198.23,61.67
cuba,2021,78.65,122.38,40.24
cuba,2020,77.58,119.14,40.83
cuba,2019,76.08,115.06,39.79
cuba,2018,72.77,111.23,37.93
cuba,2017,70.41,107.3,36.86
cuba,2016,65.86,99.65,33.83
dinamarca,2021,55.02,91.95,20.97
dinamarca,2020,54.0,89.41,20.76
dinamarca,2019,54.08,89.34,20.59
dinamarca,2018,54.22,89.81,20.55
dinamarca,2017,53.05,88.42,20.06
dinamarca,2016,53.17,88.77,19.89
dominica,2021,164.38,237.39,93.34
dominica,2020,161.74,231.95,93.42
dominica,2019,157.92,227.26,92.41
dominica,2018,153.99,218.97,91.63
dominica,2017,150.34,211.92,90.09
dominica,2016,146.88,207.84,87.96
ecuador,2021,56.46,84.46,30.94
ecuador,2020,56.46,84.75,31.27
ecuador,2019,57.27,83.71,31.33
ecuador,2018,57.83,84.41,32.8
ecuador,2017,57.7,84.17,33.18
ecuador,2016,57.36,83.74,33.86
egipto,2021,105.18,155.42,59.4
egipto,2020,103.36,147.66,57.75
egipto,2019,101.18,142.36,57.91
egipto,2018,99.61,141.02,57.08
egipto,2017,96.65,137.25,55.29
egipto,2016,99.12,141.11,56.41
el-salvador,2021,80.36,123.98,40.3
el-salvador,2020,81.35,120.41,42.32
el-salvador,2019,78.82,115.19,40.73
el-salvador,2018,74.56,109.5,38.78
el-salvador,2017,75.48,111.2,39.66
el-salvador,2016,73.53,107.87,38.23
emiratos-arabes-unidos,2021,29.13,43.23,15.5
emiratos-arabes-unidos,2020,26.44,39.46,13.83
emiratos-arabes-unidos,2019,30.75,46.49,16.19
emiratos-arabes-unidos,2018,27.76,42.31,14.63
emiratos-arabes-unidos,2017,26.02,39.04,13.71
emiratos-arabes-unidos,2016,25.23,37.6,13.36
eritrea,2021,15.08,25.11,8.08
eritrea,2020,14.59,23.86,7.77
eritrea,2019,14.1,23.2,7.46
eritrea,2018,13.71,22.18,7.31
eritrea,2017,13.29,21.46,7.21
eritrea,2016,12.85,20.83,7.01
eslovaquia,2021,114.93,184.85,51.32
eslovaquia,2020,113.92,180.17,51.48
eslovaquia,2019,111.2,176.51,49.41
eslovaquia,2018,112.68,177.08,50.4
eslovaquia,2017,111.04,174.54,49.23
eslovaquia,2016,107.83,171.01,47.88
eslovenia,2021,99.6,155.38,49.52
eslovenia,2020,104.64,158.56,50.83
eslovenia,2019,100.74,151.76,49.31
eslovenia,2018,99.64,150.85,49.23
eslovenia,2017,98.84,148.56,49.89
eslovenia,2016,95.3,143.13,48.51
espana,2021,80.05,130.94,32.5
espana,2020,81.21,132.32,33.54
espana,2019,79.65,129.7,32.71
espana,2018,79.1,129.04,32.34
espana,2017,77.24,125.48,31.96
espana,2016,75.34,122.43,31.34
estonia,2021,189.52,271.68,112.2
estonia,2020,187.45,263.54,110.96
estonia,2019,185.27,264.2,108.14
estonia,2018,187.02,266.6,110.91
estonia,2017,185.46,263.79,112.51
estonia,2016,193.78,268.45,119.21
etiopia,2021,10.52,16.49,6.3
etiopia,2020,10.31,15.74,5.94
etiopia,2019,10.07,15.78,6.12
etiopia,2018,9.8,15.26,5.81
etiopia,2017,9.56,14.58,5.85
etiopia,2016,9.37,13.91,5.66
filipinas,2021,39.72,61.33,21.32
filipinas,2020,38.55,57.42,21.16
filipinas,2019,38.45,58.23,21.14
filipinas,2018,36.96,55.85,20.25
filipinas,2017,35.98,53.81,20.14
filipinas,2016,35.62,53.08,20.04
finlandia,2021,86.52,139.33,40.03
finlandia,2020,84.97,136.14,39.64
finlandia,2019,84.38,135.92,38.41
finlandia,2018,83.87,134.6,38.24
finlandia,2017,82.16,133.86,36.69
finlandia,2016,80.43,131.64,35.08
fiyi,2021,222.07,329.43,110.43
fiyi,2020,220.14,329.7,109.0
fiyi,2019,216.6,324.55,108.17
fiyi,2018,212.28,318.46,108.42
fiyi,2017,208.51,309.08,104.25
fiyi,2016,205.44,299.76,101.98
francia,2021,58.76,98.44,23.68
francia,2020,59.14,98.42,24.48
francia,2019,58.83,98.91,24.61
francia,2018,58.11,97.13,24.1
francia,2017,57.24,95.07,23.45
francia,2016,55.98,92.39,22.67
gabon,2021,70.11,108.07,39.72
gabon,2020,69.95,108.92,39.46
gabon,2019,69.23,107.54,39.17
gabon,2018,68.0,106.27,39.02
gabon,2017,66.59,102.36,38.67
gabon,2016,65.34,100.56,38.04
gambia,2021,29.44,48.59,16.24
gambia,2020,29.39,47.92,16.13
gambia,2019,29.61,48.39,16.42
gambia,2018,28.66,47.37,15.68
gambia,2017,28.54,46.69,15.72
gambia,2016,26.96,43.32,14.77
georgia,2021,125.1,188.63,70.01
georgia,2020,131.78,197.34,74.05
georgia,2019,126.11,187.34,70.5
georgia,2018,129.82,190.12,73.13
georgia,2017,142.0,206.82,81.86
georgia,2016,155.22,222.77,91.76
ghana,2021,33.27,54.38,17.24
ghana,2020,32.93,54.83,17.07
ghana,2019,32.35,52.61,16.99
ghana,2018,31.78,51.05,16.75
ghana,2017,31.04,50.02,15.92
ghana,2016,30.18,48.12,15.62
granada,2021,110.39,161.69,60.69
granada,2020,109.88,161.06,61.07
granada,2019,107.13,155.56,59.49
granada,2018,101.94,145.92,56.03
granada,2017,95.1,137.85,53.23
granada,2016,92.46,134.09,52.04
grecia,2021,115.46,184.78,53.38
grecia,2020,111.8,178.35,52.31
grecia,2019,107.84,172.65,49.88
grecia,2018,104.07,166.32,48.4
grecia,2017,101.12,161.05,46.94
grecia,2016,96.9,154.41,45.59
guatemala,2021,52.82,80.32,27.39
guatemala,2020,51.57,76.0,27.12
guatemala,2019,53.76,78.91,27.79
guatemala,2018,50.66,73.9,26.19
guatemala,2017,48.26,70.99,25.01
guatemala,2016,47.88,70.03,24.99
guinea,2021,21.62,33.79,12.05
guinea,2020,22.0,34.2,12.42
guinea,2019,22.24,34.43,12.63
guinea,2018,22.48,34.84,12.66
guinea,2017,22.68,35.31,12.72
guinea,2016,22.98,35.5,12.97
guinea-bisau,2021,27.23,43.84,15.33
guinea-bisau,2020,27.35,43.62,15.19
guinea-bisau,2019,27.34,43.57,15.31
guinea-bisau,2018,27.14,42.83,14.99
guinea-bisau,2017,26.86,42.11,14.78
guinea-bisau,2016,26.61,41.77,14.54
guinea-ecuatorial,2021,32.68,52.84,16.58
guinea-ecuatorial,2020,32.31,52.26,16.77
guinea-ecuatorial,2019,31.56,50.87,16.3
guinea-ecuatorial,2018,30.29,48.68,15.58
guinea-ecuatorial,2017,29.22,46.78,14.94
guinea-ecuatorial,2016,28.36,45.72,14.16
guyana,2021,109.43,163.31,60.48
guyana,2020,109.46,161.29,63.06
guyana,2019,108.71,160.4,63.54
guyana,2018,108.48,157.98,63.36
guyana,2017,106.65,154.91,62.68
guyana,2016,103.83,149.99,61.8
haiti,2021,36.47,57.71,17.78
haiti,2020,36.1,57.64,17.87
haiti,2019,35.65,57.63,17.51
haiti,2018,34.74,56.29,17.21
haiti,2017,33.91,54.05,16.89
haiti,2016,33.4,53.12,16.8
honduras,2021,45.31,69.03,23.79
honduras,2020,45.12,68.1,23.77
honduras,2019,44.61,67.43,23.61
honduras,2018,43.92,66.06,23.53
honduras,2017,43.32,65.5,23.23
honduras,2016,42.45,64.38,22.7
hungria,2021,157.6,239.1,82.23
hungria,2020,164.03,247.67,90.4
hungria,2019,162.11,240.81,88.87
hungria,2018,163.78,240.58,91.07
hungria,2017,162.31,239.63,89.57
hungria,2016,156.87,230.4,86.84
india,2021,24.28,37.99,11.35
india,2020,23.95,38.44,11.19
india,2019,23.59,37.63,11.14
india,2018,22.67,35.68,10.74
india,2017,21.52,33.31,10.08
india,2016,20.65,32.42,9.68
indonesia,2021,31.43,47.49,17.54
indonesia,2020,30.69,47.22,16.81
indonesia,2019,29.73,47.67,16.21
indonesia,2018,28.81,42.9,15.54
indonesia,2017,27.99,43.44,15.59
indonesia,2016,27.18,42.01,15.09
irak,2021,66.42,104.28,30.89
irak,2020,66.13,104.09,30.9
irak,2019,61.08,96.54,28.74
irak,2018,57.62,91.89,26.92
irak,2017,54.8,86.98,25.77
irak,2016,53.53,85.39,25.55
iran,2021,58.44,85.79,31.54
iran,2020,57.01,84.06,31.23
iran,2019,58.27,86.01,31.87
iran,2018,55.65,80.74,30.15
iran,2017,53.87,79.06,29.27
iran,2016,51.87,75.28,28.54
irlanda,2021,40.49,68.37,14.19
irlanda,2020,41.92,70.37,14.96
irlanda,2019,43.44,73.64,15.68
irlanda,2018,43.28,73.46,15.75
irlanda,2017,42.55,72.01,15.45
irlanda,2016,42.94,72.96,15.88
islandia,2021,46.84,80.81,16.33
islandia,2020,45.07,78.15,15.7
islandia,2019,46.32,79.52,16.4
islandia,2018,46.01,79.38,16.46
islandia,2017,46.54,79.84,16.99
islandia,2016,47.03,80.39,17.37
islas-marshall,2021,153.19,234.79,68.25
islas-marshall,2020,149.73,228.61,66.49
islas-marshall,2019,146.2,221.62,65.3
islas-marshall,2018,142.81,217.69,64.28
islas-marshall,2017,139.38,211.75,64.02
islas-marshall,2016,135.92,206.09,62.6
islas-salomon,2021,67.42,108.29,29.66
islas-salomon,2020,67.27,107.7,29.65
islas-salomon,2019,65.7,106.25,29.31
islas-salomon,2018,63.8,102.98,28.31
islas-salomon,2017,62.08,98.83,27.65
islas-salomon,2016,60.09,95.78,27.02
israel,2021,44.76,72.99,17.77
israel,2020,44.89,73.3,17.97
israel,2019,45.72,74.32,18.39
israel,2018,45.05,72.75,18.19
israel,2017,45.46,73.06,18.38
israel,2016,46.02,73.91,18.84
italia,2021,100.68,160.16,46.46
italia,2020,100.42,160.21,45.99
italia,2019,97.46,155.72,45.41
italia,2018,96.22,153.37,44.94
italia,2017,94.92,151.43,44.32
italia,2016,92.27,147.14,43.29
jamaica,2021,99.88,153.66,52.82
jamaica,2020,96.0,149.12,50.83
jamaica,2019,97.11,149.55,53.26
jamaica,2018,93.15,141.54,51.7
jamaica,2017,90.6,135.54,51.11
jamaica,2016,88.42,131.85,49.06
japon,2021,36.11,60.44,17.51
japon,2020,34.05,56.34,16.83
japon,2019,33.66,55.8,16.81
japon,2018,32.5,53.98,16.4
japon,2017,31.15,51.63,15.86
japon,2016,29.64,49.37,15.12
jordania,2021,49.83,75.26,28.12
jordania,2020,47.64,70.39,27.29
jordania,2019,44.8,65.32,26.06
jordania,2018,43.01,61.2,24.78
jordania,2017,42.94,60.81,24.96
jordania,2016,42.71,60.37,24.89
kazajistan,2021,54.93,90.99,22.09
kazajistan,2020,57.0,92.4,23.28
kazajistan,2019,55.79,91.21,22.89
kazajistan,2018,55.66,90.31,22.95
kazajistan,2017,55.25,90.73,22.75
kazajistan,2016,57.04,91.7,23.82
kenia,2021,20.74,33.35,11.3
kenia,2020,20.31,31.13,11.26
kenia,2019,19.8,31.39,10.9
kenia,2018,19.2,30.72,10.52
kenia,2017,18.6,30.48,10.15
kenia,2016,18.04,27.72,9.95
kirguistan,2021,44.37,69.68,19.9
kirguistan,2020,44.58,69.95,20.17
kirguistan,2019,44.3,70.02,20.08
kirguistan,2018,44.6,70.47,20.33
kirguistan,2017,45.73,72.05,20.72
kirguistan,2016,45.3,73.19,19.48
kiribati,2021,135.51,214.18,60.48
