Country,Year,Value,Max,Min
kiribati,2020,133.64,212.16,61.0
kiribati,2019,131.76,210.37,60.32
kiribati,2018,130.03,207.48,58.84
kiribati,2017,128.31,204.61,57.46
kiribati,2016,126.18,201.29,55.79
kuwait,2021,42.34,64.38,21.13
kuwait,2020,42.93,61.29,22.29
kuwait,2019,38.84,55.65,19.85
kuwait,2018,36.27,51.68,18.48
kuwait,2017,35.8,51.26,18.36
kuwait,2016,34.7,50.0,17.94
laos,2021,26.43,43.59,14.02
laos,2020,25.92,41.93,13.61
laos,2019,25.3,40.13,13.39
laos,2018,24.72,39.68,13.2
laos,2017,24.19,39.09,13.03
laos,2016,23.66,37.88,12.59
lesoto,2021,85.71,146.08,45.29
lesoto,2020,88.35,148.77,46.92
lesoto,2019,88.51,147.92,46.5
lesoto,2018,87.68,145.49,46.11
lesoto,2017,87.88,147.43,45.76
lesoto,2016,89.22,148.4,46.78
letonia,2021,161.24,261.53,77.64
letonia,2020,161.44,257.4,77.77
letonia,2019,157.27,252.02,74.6
letonia,2018,160.94,257.04,76.91
letonia,2017,158.07,249.74,74.29
letonia,2016,153.8,244.42,71.15
libano,2021,81.39,124.44,39.8
libano,2020,79.34,122.87,39.19
libano,2019,76.14,115.52,37.81
libano,2018,72.43,111.86,35.88
libano,2017,70.31,108.38,35.22
libano,2016,68.81,105.77,33.93
liberia,2021,33.26,52.72,18.58
liberia,2020,32.68,50.92,18.64
liberia,2019,31.92,50.03,18.16
liberia,2018,31.2,49.48,17.54
liberia,2017,30.93,49.07,17.36
liberia,2016,31.05,48.77,17.27
libia,2021,85.14,133.54,44.72
libia,2020,83.17,126.32,43.53
libia,2019,80.56,122.37,42.07
libia,2018,77.46,116.7,39.8
libia,2017,74.43,110.64,38.44
libia,2016,70.71,104.64,36.69
lituania,2021,146.46,242.57,62.08
lituania,2020,145.29,236.44,62.32
lituania,2019,143.5,233.53,60.96
lituania,2018,141.96,230.65,60.36
lituania,2017,139.16,228.27,58.02
lituania,2016,139.93,228.79,56.82
luxemburgo,2021,49.11,80.9,21.12
luxemburgo,2020,50.3,82.57,21.94
luxemburgo,2019,52.41,85.04,23.12
luxemburgo,2018,53.58,86.07,24.04
luxemburgo,2017,53.08,85.45,23.81
luxemburgo,2016,53.74,86.77,24.38
macedonia,2021,128.55,202.99,64.76
macedonia,2020,130.4,201.48,65.3
macedonia,2019,132.92,204.13,67.53
macedonia,2018,131.62,201.95,67.14
macedonia,2017,130.41,201.65,66.13
macedonia,2016,131.87,200.76,67.68
madagascar,2021,19.57,30.66,10.87
madagascar,2020,19.03,29.43,10.84
madagascar,2019,18.49,28.89,10.67
madagascar,2018,17.98,28.49,10.23
madagascar,2017,17.41,27.36,10.24
madagascar,2016,16.89,26.53,9.98
malasia,2021,39.39,60.54,17.7
malasia,2020,35.03,54.39,15.67
malasia,2019,36.63,56.92,16.54
malasia,2018,35.61,55.06,16.18
malasia,2017,34.58,53.64,15.75
malasia,2016,32.98,50.81,15.05
malaui,2021,18.25,29.34,10.42
malaui,2020,18.06,29.51,10.49
malaui,2019,17.63,28.74,10.12
malaui,2018,17.15,27.87,9.97
malaui,2017,16.63,27.0,9.57
malaui,2016,16.19,26.1,9.31
maldivas,2021,15.41,24.74,8.12
maldivas,2020,14.31,22.59,7.68
maldivas,2019,14.62,23.03,7.72
maldivas,2018,14.34,22.39,7.59
maldivas,2017,14.02,21.68,7.52
maldivas,2016,13.7,20.88,7.54
mali,2021,15.74,25.25,8.28
mali,2020,15.96,25.71,8.46
mali,2019,16.15,26.4,8.56
mali,2018,16.21,25.84,8.65
mali,2017,16.24,25.66,8.72
mali,2016,16.18,25.63,8.69
malta,2021,76.96,126.54,32.39
malta,2020,69.96,115.85,29.72
malta,2019,71.61,118.34,30.01
malta,2018,69.79,115.39,29.2
malta,2017,68.08,112.47,28.73
malta,2016,67.16,111.03,28.37
marruecos,2021,86.74,133.9,47.38
marruecos,2020,85.1,131.24,46.0
marruecos,2019,83.0,127.61,44.33
marruecos,2018,80.42,124.47,43.07
marruecos,2017,77.25,119.51,40.96
marruecos,2016,74.4,116.85,39.74
mauricio,2021,152.22,221.96,82.76
mauricio,2020,140.38,204.1,76.19
mauricio,2019,141.42,205.05,75.69
mauricio,2018,132.93,191.11,71.3
mauricio,2017,126.79,184.86,67.02
mauricio,2016,123.89,178.44,65.52
mauritania,2021,39.91,61.66,21.22
mauritania,2020,38.97,60.04,20.94
mauritania,2019,38.41,59.16,20.54
mauritania,2018,36.93,57.11,19.71
mauritania,2017,36.29,55.36,19.44
mauritania,2016,35.03,52.96,18.83
mexico,2021,90.38,132.07,47.67
mexico,2020,86.86,123.85,44.72
mexico,2019,84.6,123.06,44.86
mexico,2018,81.99,119.37,43.67
mexico,2017,79.96,116.46,43.25
mexico,2016,78.1,113.79,42.41
micronesia,2021,147.5,227.61,67.46
micronesia,2020,143.92,221.09,66.49
micronesia,2019,140.03,215.7,65.45
micronesia,2018,136.41,209.21,63.81
micronesia,2017,132.8,205.25,60.79
micronesia,2016,129.23,199.24,57.83
moldavia,2021,143.35,216.91,70.37
moldavia,2020,139.27,210.58,70.18
moldavia,2019,137.58,209.75,71.17
moldavia,2018,136.04,204.16,70.15
moldavia,2017,132.98,201.69,68.5
moldavia,2016,137.52,207.98,70.29
mongolia,2021,37.24,62.81,15.83
mongolia,2020,36.9,62.1,14.98
mongolia,2019,37.72,63.16,15.93
mongolia,2018,37.43,62.8,15.55
mongolia,2017,37.2,62.6,15.01
mongolia,2016,37.36,63.8,14.83
montenegro,2021,131.05,215.24,56.02
montenegro,2020,138.57,224.98,59.88
montenegro,2019,133.4,215.46,56.56
montenegro,2018,131.73,213.75,55.55
montenegro,2017,130.65,211.65,55.29
montenegro,2016,127.68,206.38,54.83
mozambique,2021,19.93,32.46,11.1
mozambique,2020,19.94,32.25,11.16
mozambique,2019,19.85,32.49,11.26
mozambique,2018,19.68,32.01,11.13
mozambique,2017,19.65,31.43,11.13
mozambique,2016,19.52,30.88,10.98
namibia,2021,57.78,90.05,29.46
namibia,2020,57.79,89.78,29.38
namibia,2019,56.73,88.32,29.01
namibia,2018,55.54,86.37,28.18
namibia,2017,54.14,85.16,27.53
namibia,2016,52.79,82.72,26.58
nauru,2021,163.97,248.51,74.48
nauru,2020,163.06,246.93,73.7
nauru,2019,162.43,248.69,74.25
nauru,2018,162.11,249.13,73.9
nauru,2017,161.73,247.92,73.9
nauru,2016,161.09,247.4,74.11
nepal,2021,19.56,33.29,9.86
nepal,2020,19.17,32.34,9.72
nepal,2019,18.62,31.0,9.47
nepal,2018,18.08,29.92,9.35
nepal,2017,17.47,28.24,9.01
nepal,2016,16.87,27.02,8.66
nicaragua,2021,44.85,68.01,25.43
nicaragua,2020,44.6,65.9,24.74
nicaragua,2019,46.26,68.15,25.63
nicaragua,2018,45.47,66.78,24.96
nicaragua,2017,44.03,64.82,24.19
nicaragua,2016,44.5,65.44,24.4
niger,2021,10.25,16.23,5.61
niger,2020,10.32,16.23,5.64
niger,2019,10.35,15.87,5.67
niger,2018,10.3,16.15,5.61
niger,2017,10.23,16.25,5.44
niger,2016,10.17,16.43,5.42
nigeria,2021,20.31,31.26,10.52
nigeria,2020,20.07,31.51,10.23
nigeria,2019,19.9,31.2,10.14
nigeria,2018,19.7,30.26,10.02
nigeria,2017,19.48,30.69,10.48
nigeria,2016,19.26,30.11,10.42
noruega,2021,39.86,68.82,14.68
noruega,2020,38.76,66.06,14.39
noruega,2019,39.27,67.75,14.55
noruega,2018,39.11,67.43,14.55
noruega,2017,39.37,67.75,14.46
noruega,2016,40.27,68.7,14.89
nueva-zelanda,2021,55.49,91.37,21.13
nueva-zelanda,2020,53.2,87.98,20.39
nueva-zelanda,2019,55.43,91.77,21.14
nueva-zelanda,2018,54.79,90.41,20.99
nueva-zelanda,2017,54.61,90.58,20.88
nueva-zelanda,2016,53.89,89.2,20.94
oman,2021,40.46,57.77,23.15
oman,2020,41.85,59.89,23.41
oman,2019,43.28,61.46,24.69
oman,2018,42.83,61.43,24.38
oman,2017,44.49,63.52,25.27
oman,2016,45.36,64.47,25.73
paises-bajos,2021,54.58,92.01,20.4
paises-bajos,2020,53.71,90.38,20.16
paises-bajos,2019,52.74,89.18,19.71
paises-bajos,2018,52.46,88.64,19.66
paises-bajos,2017,52.2,87.73,19.73
paises-bajos,2016,52.35,88.12,19.96
pakistan,2021,29.94,48.21,15.02
pakistan,2020,29.79,47.27,14.83
pakistan,2019,29.36,47.27,14.13
pakistan,2018,29.03,48.43,14.14
pakistan,2017,28.74,46.32,14.62
pakistan,2016,28.39,46.36,14.45
panama,2021,61.05,95.14,28.63
panama,2020,61.19,92.03,30.2
panama,2019,59.85,89.73,29.91
panama,2018,58.92,88.23,30.06
panama,2017,59.16,88.21,29.81
panama,2016,56.73,85.88,28.75
papua-nueva-guinea,2021,38.16,62.47,17.2
papua-nueva-guinea,2020,38.01,62.44,17.26
papua-nueva-guinea,2019,37.47,61.19,17.32
papua-nueva-guinea,2018,36.15,58.73,16.68
papua-nueva-guinea,2017,35.54,56.72,16.08
papua-nueva-guinea,2016,34.85,55.64,15.44
paraguay,2021,62.77,99.04,31.7
paraguay,2020,62.56,96.75,31.62
paraguay,2019,64.96,96.26,33.53
paraguay,2018,62.31,92.49,31.71
paraguay,2017,59.43,87.92,29.6
paraguay,2016,60.34,87.7,30.53
peru,2021,36.46,58.23,18.33
peru,2020,37.52,57.88,18.66
peru,2019,39.32,60.73,19.17
peru,2018,36.07,55.44,18.04
peru,2017,33.78,51.18,17.29
peru,2016,30.1,45.61,15.58
polonia,2021,103.58,163.98,47.05
polonia,2020,102.24,160.1,48.29
polonia,2019,100.71,159.61,47.65
polonia,2018,99.96,158.7,47.16
polonia,2017,95.47,152.08,44.1
polonia,2016,91.91,146.48,41.74
portugal,2021,87.23,143.12,36.61
portugal,2020,86.2,141.44,36.75
portugal,2019,85.14,141.21,35.87
portugal,2018,83.49,137.95,35.07
portugal,2017,81.23,134.16,33.81
portugal,2016,80.12,132.34,33.32
republica-centroafricana,2021,34.67,61.77,18.12
republica-centroafricana,2020,34.27,61.67,17.88
republica-centroafricana,2019,33.84,61.63,17.41
republica-centroafricana,2018,33.1,60.42,16.94
republica-centroafricana,2017,32.33,59.79,16.4
republica-centroafricana,2016,31.63,58.52,16.11
republica-checa,2021,118.46,193.5,50.79
republica-checa,2020,120.29,193.3,53.59
republica-checa,2019,117.89,188.74,51.51
republica-checa,2018,116.49,186.99,50.34
republica-checa,2017,113.11,182.97,47.51
republica-checa,2016,111.05,179.62,45.96
republica-democratica-congo,2021,30.93,48.65,16.11
republica-democratica-congo,2020,30.22,47.7,15.47
republica-democratica-congo,2019,29.32,45.66,15.34
republica-democratica-congo,2018,28.65,44.98,15.04
republica-democratica-congo,2017,27.95,44.62,14.75
republica-democratica-congo,2016,27.37,43.13,14.54
republica-dominicana,2021,55.11,86.51,29.98
republica-dominicana,2020,56.56,85.84,30.42
republica-dominicana,2019,53.37,81.3,28.61
republica-dominicana,2018,53.1,79.97,28.59
republica-dominicana,2017,51.56,76.01,27.21
republica-dominicana,2016,50.09,75.75,26.1
ruanda,2021,15.93,26.11,8.94
ruanda,2020,15.38,25.05,8.52
ruanda,2019,14.69,23.54,8.24
ruanda,2018,14.12,22.36,7.8
ruanda,2017,13.62,21.74,7.63
ruanda,2016,13.14,20.69,7.4
rumania,2021,148.66,228.47,81.17
rumania,2020,145.43,219.97,79.37
rumania,2019,143.87,216.73,78.45
rumania,2018,142.98,217.09,77.84
rumania,2017,139.85,211.43,76.88
rumania,2016,137.31,207.47,75.18
rusia,2021,122.21,200.61,44.35
rusia,2020,119.47,196.77,44.53
rusia,2019,119.0,193.48,44.16
rusia,2018,119.3,193.55,44.61
rusia,2017,116.87,189.55,44.04
rusia,2016,119.75,194.77,45.68
samoa,2021,113.12,170.97,56.54
samoa,2020,112.45,171.19,55.9
samoa,2019,111.84,168.41,55.17
samoa,2018,111.07,167.4,54.27
samoa,2017,110.15,164.95,52.81
samoa,2016,108.95,164.05,51.82
san-cristobal-nieves,2021,105.21,156.32,58.18
san-cristobal-nieves,2020,101.07,149.42,55.19
san-cristobal-nieves,2019,98.04,143.89,53.67
san-cristobal-nieves,2018,94.73,137.94,53.46
san-cristobal-nieves,2017,91.26,132.91,51.79
san-cristobal-nieves,2016,88.31,128.47,50.23
san-vicente-las-granadinas,2021,109.85,159.35,67.21
san-vicente-las-granadinas,2020,107.51,154.92,66.19
san-vicente-las-granadinas,2019,105.23,153.81,64.53
san-vicente-las-granadinas,2018,98.71,142.52,60.48
san-vicente-las-granadinas,2017,92.59,131.79,57.51
san-vicente-las-granadinas,2016,88.72,126.29,54.66
santa-lucia,2021,100.31,152.97,55.34
santa-lucia,2020,94.41,140.08,53.95
santa-lucia,2019,88.52,131.49,51.29
santa-lucia,2018,84.89,125.44,49.72
santa-lucia,2017,80.88,117.68,47.49
santa-lucia,2016,76.72,110.26,44.54
santo-tome-principe,2021,31.13,48.64,16.49
santo-tome-principe,2020,30.66,47.62,16.1
santo-tome-principe,2019,29.98,46.77,15.85
santo-tome-principe,2018,29.24,45.88,15.49
santo-tome-principe,2017,28.4,44.81,15.45
santo-tome-principe,2016,28.03,44.19,15.2
senegal,2021,29.27,45.77,16.04
senegal,2020,29.13,45.38,16.05
senegal,2019,28.87,44.68,15.83
senegal,2018,27.69,42.69,15.34
senegal,2017,27.58,42.15,15.39
senegal,2016,27.39,41.66,15.59
serbia,2021,162.78,252.66,81.86
serbia,2020,163.33,250.87,80.75
serbia,2019,157.13,239.92,78.74
serbia,2018,153.35,235.52,76.34
serbia,2017,153.79,238.42,77.17
serbia,2016,149.54,232.87,75.58
seychelles,2021,86.06,122.82,55.05
seychelles,2020,84.01,118.76,53.79
seychelles,2019,93.42,130.39,58.27
seychelles,2018,90.94,126.15,56.2
seychelles,2017,88.02,121.93,54.49
seychelles,2016,85.18,117.97,53.71
sierra-leona,2021,20.33,32.85,10.95
sierra-leona,2020,20.07,32.13,10.77
sierra-leona,2019,19.84,31.49,10.71
sierra-leona,2018,19.56,31.06,10.6
sierra-leona,2017,19.37,30.9,10.44
sierra-leona,2016,19.12,30.16,10.14
singapur,2021,21.6,33.81,10.69
singapur,2020,20.99,32.92,10.54
singapur,2019,20.25,31.65,10.24
singapur,2018,20.07,31.18,10.47
singapur,2017,19.58,30.1,10.3
singapur,2016,19.02,28.86,10.17
siria,2021,120.12,193.22,60.89
siria,2020,116.72,186.62,59.86
siria,2019,112.38,179.61,57.9
siria,2018,106.41,165.17,53.52
siria,2017,98.7,151.84,50.07
siria,2016,89.78,138.94,45.9
somalia,2021,14.6,24.92,8.21
somalia,2020,14.7,24.97,8.16
somalia,2019,14.71,24.93,8.17
somalia,2018,14.65,24.86,8.08
somalia,2017,14.58,24.76,7.99
somalia,2016,14.54,24.91,7.92
sri-lanka,2021,46.74,81.97,20.72
sri-lanka,2020,42.77,76.66,18.65
sri-lanka,2019,45.19,77.05,20.51
sri-lanka,2018,44.32,74.14,21.52
sri-lanka,2017,42.93,69.72,20.42
sri-lanka,2016,41.5,65.06,19.45
suazilandia,2021,87.55,139.36,44.88
suazilandia,2020,89.29,141.81,45.04
suazilandia,2019,89.72,143.77,43.92
suazilandia,2018,89.39,141.74,44.32
suazilandia,2017,88.77,142.09,44.28
suazilandia,2016,88.21,142.51,44.75
sudafrica,2021,92.64,135.8,52.57
sudafrica,2020,92.78,135.12,51.68
sudafrica,2019,89.45,130.38,49.96
sudafrica,2018,91.43,130.98,52.39
sudafrica,2017,91.6,132.35,51.86
sudafrica,2016,93.52,136.08,52.83
sudan,2021,13.01,21.5,7.44
sudan,2021,44.85,70.99,23.47
sudan,2020,12.86,21.22,7.44
sudan,2020,44.16,69.78,23.26
sudan,2019,12.64,20.68,7.27
sudan,2019,43.29,68.06,22.78
sudan,2018,12.08,19.87,6.9
sudan,2018,42.41,66.78,22.2
sudan,2017,10.89,18.17,6.07
sudan,2017,41.63,65.7,21.49
sudan,2016,9.84,16.17,5.5
sudan,2016,40.96,64.6,21.32
suecia,2021,61.78,102.43,27.09
suecia,2020,62.92,104.14,26.5
suecia,2019,63.61,104.76,27.34
suecia,2018,65.31,107.42,28.39
suecia,2017,66.63,108.57,29.41
suecia,2016,66.11,108.42,28.76
suiza,2021,53.9,88.21,23.89
suiza,2020,56.05,91.87,25.41
suiza,2019,54.33,88.6,24.47
suiza,2018,55.12,89.84,25.16
suiza,2017,54.47,88.27,24.86
suiza,2016,54.94,89.67,24.96
surinam,2021,69.7,108.86,34.92
surinam,2020,73.81,113.63,39.35
surinam,2019,72.94,110.66,39.95
surinam,2018,69.93,105.81,38.44
surinam,2017,66.23,100.3,36.56
surinam,2016,63.55,95.7,34.76
tailandia,2021,48.22,80.09,22.49
tailandia,2020,45.7,74.89,21.24
tailandia,2019,43.28,70.12,20.44
tailandia,2018,39.93,64.45,18.8
tailandia,2017,37.28,60.5,17.52
tailandia,2016,35.88,57.5,16.78
tanzania,2021,24.58,39.61,13.3
tanzania,2020,24.34,39.28,13.26
tanzania,2019,23.85,38.65,12.94
tanzania,2018,23.46,38.13,12.71
tanzania,2017,23.05,37.68,12.44
tanzania,2016,22.59,35.82,12.15
tayikistan,2021,34.95,55.42,17.13
tayikistan,2020,34.89,55.4,17.27
tayikistan,2019,34.49,53.78,17.46
tayikistan,2018,34.49,53.36,17.53
tayikistan,2017,34.36,52.62,17.62
tayikistan,2016,34.91,52.83,18.03
timor-oriental,2021,11.24,17.71,6.61
timor-oriental,2020,11.04,17.23,6.61
timor-oriental,2019,10.89,17.01,6.56
timor-oriental,2018,10.56,16.62,6.42
timor-oriental,2017,10.21,15.84,6.33
timor-oriental,2016,9.86,15.26,6.17
togo,2021,26.09,41.1,13.91
togo,2020,25.43,40.39,13.64
togo,2019,24.81,39.3,13.48
togo,2018,24.25,38.55,13.14
togo,2017,23.73,37.8,12.83
togo,2016,22.99,36.69,12.44
tonga,2021,109.9,166.3,49.76
tonga,2020,108.33,164.22,49.54
tonga,2019,106.99,162.39,49.55
tonga,2018,105.7,159.57,49.04
tonga,2017,104.34,158.08,48.67
tonga,2016,102.93,155.44,48.09
trinidad-tobago,2021,153.73,234.13,79.03
trinidad-tobago,2020,151.1,233.08,76.98
trinidad-tobago,2019,144.27,212.94,74.91
trinidad-tobago,2018,139.1,201.5,72.85
trinidad-tobago,2017,135.97,195.98,70.45
trinidad-tobago,2016,133.85,195.69,71.06
tunez,2021,80.89,125.69,41.35
tunez,2020,78.7,123.54,39.85
tunez,2019,76.65,119.83,39.38
tunez,2018,74.36,117.71,38.26
tunez,2017,72.15,114.9,38.03
tunez,2016,69.4,109.35,36.98
turkmenistan,2021,66.02,110.24,28.98
turkmenistan,2020,65.46,105.63,28.76
turkmenistan,2019,64.5,103.47,28.33
turkmenistan,2018,63.05,100.47,27.65
turkmenistan,2017,61.85,97.54,27.5
turkmenistan,2016,59.89,93.85,27.36
turquia,2021,86.92,130.95,44.57
turquia,2020,86.03,129.53,44.25
turquia,2019,82.61,125.78,42.49
turquia,2018,79.7,121.55,41.81
turquia,2017,80.2,120.58,42.88
turquia,2016,79.89,119.51,42.92
tuvalu,2021,145.01,224.01,65.42
tuvalu,2020,144.44,224.24,65.01
tuvalu,2019,143.94,224.75,66.06
tuvalu,2018,143.5,226.23,66.15
tuvalu,2017,142.78,225.1,66.16
tuvalu,2016,141.92,223.89,65.36
ucrania,2021,152.2,261.06,57.3
ucrania,2020,148.73,249.74,56.68
ucrania,2019,154.7,256.76,59.46
ucrania,2018,151.39,254.14,58.13
ucrania,2017,147.86,244.27,55.22
ucrania,2016,145.76,238.95,56.77
uganda,2021,12.83,20.17,6.85
uganda,2020,12.59,19.88,6.8
uganda,2019,12.24,19.22,6.7
uganda,2018,11.97,18.88,6.54
uganda,2017,11.69,18.42,6.37
uganda,2016,11.53,18.17,6.16
uk,2021,58.77,100.8,20.2
uk,2020,58.48,100.85,20.43
uk,2019,59.99,103.14,20.86
uk,2018,60.19,103.6,20.96
uk,2017,59.4,102.18,20.61
uk,2016,59.06,101.52,20.41
uruguay,2021,85.73,135.48,40.79
uruguay,2020,80.54,127.36,37.92
uruguay,2019,84.44,132.46,40.37
uruguay,2018,82.43,128.76,39.5
uruguay,2017,80.59,126.22,38.34
uruguay,2016,79.47,125.04,37.08
usa,2021,100.67,154.24,48.23
usa,2020,99.28,151.84,48.34
usa,2019,97.83,149.49,47.45
usa,2018,95.86,146.43,46.27
usa,2017,94.15,144.29,44.96
usa,2016,91.75,140.97,43.4
uzbekistan,2021,62.32,97.96,30.11
uzbekistan,2020,61.41,96.53,28.83
uzbekistan,2019,60.73,94.09,28.9
uzbekistan,2018,62.7,98.48,29.35
uzbekistan,2017,64.22,99.74,29.99
uzbekistan,2016,64.34,100.27,30.12
vanuatu,2021,71.19,110.81,32.15
vanuatu,2020,69.79,108.16,31.31
vanuatu,2019,68.27,105.05,30.93
vanuatu,2018,66.79,103.39,30.0
vanuatu,2017,65.29,101.1,29.44
vanuatu,2016,63.89,98.49,28.55
venezuela,2021,99.92,155.32,51.89
venezuela,2020,94.11,149.88,49.62
venezuela,2019,85.74,133.28,45.59
venezuela,2018,76.33,115.27,40.73
venezuela,2017,71.37,104.33,39.16
venezuela,2016,70.83,103.67,38.76
vietnam,2021,18.93,30.1,9.94
vietnam,2020,18.34,29.05,9.58
vietnam,2019,17.63,28.07,9.19
vietnam,2018,16.94,26.74,8.88
vietnam,2017,16.23,25.6,8.48
vietnam,2016,15.54,24.46,8.18
yemen,2021,32.85,51.68,17.71
yemen,2020,31.89,50.58,17.27
yemen,2019,30.52,47.71,16.47
yemen,2018,28.51,45.27,15.19
yemen,2017,27.29,43.52,14.81
yemen,2016,26.55,41.39,14.93
yibuti,2021,15.82,25.47,8.76
yibuti,2020,15.29,24.86,8.55
yibuti,2019,14.84,23.7,8.2
yibuti,2018,14.28,22.83,7.78
yibuti,2017,13.97,22.6,7.81
yibuti,2016,13.44,21.53,7.44
zambia,2021,23.74,37.0,13.34
zambia,2020,23.6,37.17,13.42
zambia,2019,23.06,36.57,13.31
zambia,2018,22.44,35.17,13.09
zambia,2017,21.88,33.96,12.7
zambia,2016,21.46,32.83,12.56
zimbabue,2021,43.66,71.58,23.1
zimbabue,2020,43.82,70.76,23.64
zimbabue,2019,43.33,69.52,23.34
zimbabue,2018,42.54,68.38,22.91
zimbabue,2017,41.68,66.68,22.65
zimbabue,2016,41.13,65.26,22.51
