,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy,Continent
0,2021,65.28,58.92,61.98,Asia
1,2020,65.43,59.87,62.58,Asia
2,2019,66.68,60.62,63.57,Asia
3,2018,66.46,59.92,63.08,Asia
4,2017,66.1,60.11,63.02,Asia
5,2016,65.1,61.19,63.14,Asia
6,2021,77.7,73.6,75.5,Europa
7,2020,79.6,75.2,77.4,Europa
8,2019,80.7,77.6,79.1,Europa
9,2018,80.5,77.4,78.9,Europa
10,2017,80.1,77.1,78.5,Europa
11,2016,80.1,77.1,78.5,Europa
12,2021,83.3,78.4,80.8,Europa
13,2020,83.5,78.7,81.1,Europa
14,2019,83.7,79.0,81.3,Europa
15,2018,83.3,78.6,81.0,Europa
16,2017,83.4,78.7,81.1,Europa
17,2016,83.5,78.6,81.0,Europa
18,2021,86.0,81.3,83.7,Europa
19,2020,85.7,79.4,82.5,Europa
20,2019,86.9,81.1,84.1,Europa
21,2018,85.3,81.2,83.3,Europa
22,2017,86.3,80.8,83.6,Europa
23,2016,85.6,81.2,83.4,Europa
24,2021,64.31,59.03,61.64,África
25,2020,64.98,59.58,62.26,África
26,2019,64.92,59.98,62.45,África
27,2018,64.72,59.58,62.14,África
28,2017,64.02,59.33,61.68,África
29,2016,63.43,58.74,61.09,África
30,2021,80.94,75.78,78.5,América
31,2020,81.32,76.06,78.84,América
32,2019,81.17,75.91,78.69,América
33,2018,81.0,75.72,78.51,América
34,2017,80.72,75.52,78.27,América
35,2016,80.65,75.37,78.15,América
36,2021,78.77,75.59,76.94,Asia
37,2020,77.99,74.97,76.24,Asia
38,2019,78.91,76.07,77.3,Asia
39,2018,78.91,75.92,77.21,Asia
40,2017,78.8,75.92,77.16,Asia
41,2016,78.72,75.86,77.06,Asia
42,2021,77.96,74.88,76.38,África
43,2020,75.91,73.08,74.45,África
44,2019,77.76,75.24,76.47,África
45,2018,77.21,74.97,76.07,África
46,2017,76.82,74.7,75.74,África
47,2016,76.8,74.69,75.73,África
48,2021,78.65,72.18,75.39,América
49,2020,79.29,72.55,75.89,América
50,2019,80.68,73.86,77.28,América
51,2018,80.33,73.63,77.0,América
52,2017,80.09,73.53,76.83,América
53,2016,79.67,72.93,76.31,América
54,2021,77.35,66.55,72.04,Asia
55,2020,77.0,67.05,72.17,Asia
56,2019,79.7,73.1,76.6,Asia
57,2018,79.7,73.4,76.7,Asia
58,2017,78.9,72.5,75.8,Asia
59,2016,78.4,71.5,75.1,Asia
60,2021,85.4,81.3,83.3,Oceanía
61,2020,85.3,81.2,83.2,Oceanía
62,2019,85.0,80.9,82.9,Oceanía
63,2018,84.9,80.7,82.75,Oceanía
64,2017,84.6,80.5,82.5,Oceanía
65,2016,84.6,80.4,82.45,Oceanía
66,2021,83.7,78.8,81.3,Europa
67,2020,83.6,78.9,81.3,Europa
68,2019,84.2,79.7,82.0,Europa
69,2018,84.1,79.4,81.8,Europa
70,2017,84.0,79.4,81.7,Europa
71,2016,84.1,79.3,81.8,Europa
72,2021,73.29,65.65,69.37,Asia
73,2020,71.0,62.99,66.87,Asia
74,2019,78.9,74.3,76.6,Asia
75,2018,78.3,73.5,76.0,Asia
76,2017,77.9,73.2,75.6,Asia
77,2016,75.59,68.41,72.0,Asia
78,2021,75.1,68.12,71.6,América
79,2020,76.27,69.1,72.68,América
80,2019,73.83,68.45,71.21,América
81,2018,77.32,70.23,73.81,América
82,2017,77.17,70.04,73.63,América
83,2016,76.94,70.07,73.54,América
84,2021,74.27,70.6,72.38,Asia
85,2020,73.96,70.19,71.97,Asia
86,2019,75.09,70.71,72.81,Asia
87,2018,74.35,70.89,72.57,Asia
88,2017,73.95,69.82,71.79,Asia
89,2016,73.33,69.09,71.09,Asia
90,2021,79.36,75.63,77.57,América
91,2020,79.21,75.42,77.39,América
92,2019,79.12,75.23,77.26,América
93,2018,78.96,75.01,77.07,América
94,2017,78.84,74.86,76.94,América
95,2016,78.72,74.74,76.82,América
96,2021,80.02,77.76,78.76,Asia
97,2020,80.43,78.17,79.17,Asia
98,2019,81.32,78.98,80.02,Asia
99,2018,81.2,78.82,79.86,Asia
100,2017,81.12,78.61,79.69,Asia
101,2016,81.03,78.46,79.56,Asia
102,2021,84.3,79.4,81.9,Europa
103,2020,83.0,78.5,80.8,Europa
104,2019,84.3,79.8,82.1,Europa
105,2018,83.9,79.4,81.7,Europa
106,2017,83.9,79.2,81.6,Europa
107,2016,84.0,79.0,81.5,Europa
108,2021,74.33,67.12,70.47,América
109,2020,76.63,69.56,72.85,América
110,2019,77.25,71.06,73.93,América
111,2018,77.02,70.84,73.7,América
112,2017,76.85,70.73,73.56,América
113,2016,76.67,70.58,73.4,América
114,2021,61.45,58.22,59.82,África
115,2020,61.49,58.69,60.09,África
116,2019,61.86,59.05,60.45,África
117,2018,61.35,58.92,60.14,África
118,2017,61.2,58.51,59.86,África
119,2016,60.73,58.33,59.54,África
120,2021,77.7,67.3,72.37,Europa
121,2020,77.87,67.31,72.46,Europa
122,2019,79.4,69.3,74.23,Europa
123,2018,79.5,69.3,74.5,Europa
124,2017,79.3,69.3,74.5,Europa
125,2016,79.2,69.0,74.2,Europa
126,2021,69.0,62.55,65.67,Asia
127,2020,69.96,63.79,66.8,Asia
128,2019,69.8,63.57,66.61,Asia
129,2018,69.68,63.41,66.47,Asia
130,2017,69.0,62.84,65.84,Asia
131,2016,68.84,62.68,65.69,Asia
132,2021,66.8,60.88,63.63,América
133,2020,67.84,61.56,64.47,América
134,2019,70.48,65.37,67.84,América
135,2018,70.38,65.28,67.75,América
136,2017,70.35,65.23,67.7,América
137,2016,70.26,65.17,67.63,América
138,2021,77.53,73.11,75.3,Europa
139,2020,78.41,74.04,76.23,Europa
140,2019,79.22,75.21,77.24,Europa
141,2018,79.09,75.03,77.09,Europa
142,2017,78.96,74.85,76.94,Europa
143,2016,78.77,74.78,76.81,Europa
144,2021,63.59,58.69,61.14,África
145,2020,68.05,63.14,65.65,África
146,2019,67.89,62.93,65.46,África
147,2018,67.37,63.34,65.42,África
148,2017,69.43,63.97,66.75,África
149,2016,68.06,62.77,65.46,África
150,2021,76.01,69.56,72.75,América
151,2020,77.38,70.7,74.01,América
152,2019,78.47,72.2,75.34,América
153,2018,78.27,71.96,75.11,América
154,2017,78.03,71.64,74.83,América
155,2016,77.85,71.09,74.44,América
156,2021,76.88,72.6,74.64,Asia
157,2020,77.03,72.75,74.8,Asia
158,2019,76.99,72.71,74.75,Asia
159,2018,76.96,72.67,74.71,Asia
160,2017,76.96,72.69,74.72,Asia
161,2016,76.98,72.7,74.73,Asia
162,2021,75.1,68.0,71.4,Europa
163,2020,77.5,70.0,73.6,Europa
164,2019,78.8,71.6,75.1,Europa
165,2018,78.6,71.5,75.0,Europa
166,2017,78.4,71.4,74.8,Europa
167,2016,78.5,71.3,74.9,Europa
168,2021,60.99,57.47,59.27,África
169,2020,61.6,57.79,59.73,África
170,2019,61.82,58.17,60.04,África
171,2018,61.71,58.29,60.05,África
172,2017,61.18,57.8,59.54,África
173,2016,60.93,57.62,59.33,África
174,2021,63.61,59.71,61.66,África
175,2020,63.68,59.47,61.57,África
176,2019,64.35,60.34,62.35,África
177,2018,63.52,59.82,61.69,África
178,2017,63.3,59.76,61.55,África
179,2016,62.46,59.09,60.79,África
180,2021,73.77,70.14,71.82,Asia
181,2020,73.54,69.97,71.61,Asia
182,2019,73.24,69.81,71.39,Asia
183,2018,72.91,69.6,71.13,Asia
184,2017,72.58,69.37,70.85,Asia
185,2016,72.32,69.14,70.6,Asia
186,2021,78.46,69.59,74.05,África
187,2020,79.16,70.33,74.81,África
188,2019,80.18,71.57,76.0,África
189,2018,79.88,71.34,75.73,África
190,2017,80.69,72.18,76.59,África
191,2016,80.02,71.24,75.74,África
192,2021,72.29,66.82,69.58,Asia
193,2020,72.72,68.0,70.42,Asia
194,2019,72.87,68.4,70.69,Asia
195,2018,72.78,68.23,70.56,Asia
196,2017,72.69,68.21,70.52,Asia
197,2016,72.67,67.66,70.22,Asia
198,2021,62.02,58.69,60.33,África
199,2020,62.63,59.08,60.83,África
200,2019,63.0,60.19,61.58,África
201,2018,62.78,59.6,61.18,África
202,2017,62.16,59.47,60.81,África
203,2016,61.6,58.88,60.23,África
204,2021,84.02,79.27,81.59,América
205,2020,83.95,79.48,81.66,América
206,2019,84.37,80.18,82.22,América
207,2018,83.99,79.8,81.84,América
208,2017,84.02,79.75,81.83,América
209,2016,84.03,79.92,81.92,América
210,2021,80.94,78.31,79.27,Asia
211,2020,80.68,78.23,79.1,Asia
212,2019,82.65,80.06,80.99,Asia
213,2018,82.46,80.03,80.9,Asia
214,2017,82.31,79.85,80.72,Asia
215,2016,82.06,79.58,80.43,Asia
216,2021,54.28,50.85,52.53,África
217,2020,54.4,51.22,52.78,África
218,2019,54.91,51.66,53.26,África
219,2018,54.32,51.37,52.83,África
220,2017,53.75,50.9,52.31,África
221,2016,53.32,50.87,52.08,África
222,2021,81.44,76.47,78.94,América
223,2020,82.04,76.75,79.38,América
224,2019,82.71,77.89,80.33,América
225,2018,82.53,77.68,80.13,América
226,2017,82.6,78.02,80.35,América
227,2016,82.57,77.5,80.08,América
228,2021,81.16,75.46,78.21,Asia
229,2020,81.06,75.31,78.08,Asia
230,2019,80.82,75.3,77.97,Asia
231,2018,80.64,75.05,77.74,Asia
232,2017,80.32,74.43,77.25,Asia
233,2016,80.05,74.58,77.22,Asia
234,2021,83.4,79.2,81.3,Asia
235,2020,84.4,80.4,82.4,Asia
236,2019,84.4,80.3,82.3,Asia
237,2018,84.8,80.9,82.9,Asia
238,2017,84.2,80.2,82.2,Asia
239,2016,84.9,80.5,82.7,Asia
240,2021,76.44,69.4,72.83,América
241,2020,78.14,71.54,74.77,América
242,2019,79.72,73.8,76.75,América
243,2018,79.66,73.84,76.75,América
244,2017,79.54,73.76,76.65,América
245,2016,79.44,73.52,76.47,América
246,2021,65.83,61.25,63.42,África
247,2020,66.59,61.98,64.17,África
248,2019,66.31,62.01,64.07,África
249,2018,66.2,61.81,63.91,África
250,2017,65.99,61.46,63.63,África
251,2016,65.34,61.29,63.24,África
252,2021,64.94,62.12,63.52,África
253,2020,65.4,62.21,63.79,África
254,2019,64.17,61.35,62.75,África
255,2018,65.27,62.83,64.05,África
256,2017,65.14,62.39,63.76,África
257,2016,64.98,62.19,63.58,África
258,2021,75.74,70.83,73.28,Asia
259,2020,75.73,70.79,73.27,Asia
260,2019,75.7,70.63,73.2,Asia
261,2018,75.63,70.31,73.03,Asia
262,2017,75.62,70.15,72.98,Asia
263,2016,75.51,69.85,72.81,Asia
264,2021,86.6,80.6,83.6,Asia
265,2020,86.5,80.5,83.5,Asia
266,2019,86.3,80.3,83.3,Asia
267,2018,85.7,79.7,82.7,Asia
268,2017,85.7,79.7,82.7,Asia
269,2016,85.4,79.3,82.4,Asia
270,2021,59.94,57.4,58.6,África
271,2020,60.35,57.86,59.03,África
272,2019,60.59,58.16,59.32,África
273,2018,59.94,57.85,58.85,África
274,2017,59.72,57.35,58.48,África
275,2016,59.07,57.13,58.06,África
276,2021,79.81,74.42,77.02,América
277,2020,81.91,76.75,79.28,América
278,2019,81.95,77.0,79.43,América
279,2018,82.08,77.0,79.48,América
280,2017,81.76,77.07,79.38,América
281,2016,82.01,77.01,79.46,América
282,2021,79.7,73.5,76.6,Europa
283,2020,80.7,74.5,77.6,Europa
284,2019,81.6,75.5,78.6,Europa
285,2018,81.5,74.9,78.2,Europa
286,2017,81.0,74.9,78.0,Europa
287,2016,81.3,75.0,78.2,Europa
288,2021,76.36,71.25,73.68,América
289,2020,80.23,75.04,77.57,América
290,2019,80.08,75.24,77.61,América
291,2018,80.05,75.07,77.5,América
292,2017,80.07,75.12,77.53,América
293,2016,80.11,75.3,77.64,América
294,2021,83.3,79.6,81.5,Europa
295,2020,83.6,79.7,81.6,Europa
296,2019,83.5,79.5,81.5,Europa
297,2018,82.9,79.1,81.0,Europa
298,2017,83.1,79.2,81.1,Europa
299,2016,82.8,79.0,80.9,Europa
300,2021,76.3,69.73,72.81,América
301,2020,77.26,70.43,73.65,América
302,2019,77.21,70.36,73.56,América
303,2018,77.25,70.41,73.59,América
304,2017,69.65,65.6,67.53,América
305,2016,73.02,67.57,70.13,América
306,2021,77.46,70.26,73.67,América
307,2020,76.06,68.77,72.15,América
308,2019,79.95,74.7,77.3,América
309,2018,79.6,74.62,77.09,América
310,2017,79.4,74.58,76.97,América
311,2016,79.14,74.41,76.76,América
312,2021,72.61,67.94,70.22,África
313,2020,73.39,68.67,70.99,África
314,2019,73.71,69.05,71.36,África
315,2018,73.93,68.88,71.37,África
316,2017,73.97,68.71,71.3,África
317,2016,73.55,68.23,70.84,África
318,2021,75.15,66.08,70.75,América
319,2020,75.41,66.43,71.06,América
320,2019,76.78,68.01,72.56,América
321,2018,77.49,67.35,72.56,América
322,2017,77.49,66.91,72.31,América
323,2016,77.08,66.76,72.03,América
324,2021,80.94,77.22,78.71,Asia
325,2020,81.11,77.46,78.95,Asia
326,2019,81.91,78.18,79.73,Asia
327,2018,81.79,78.03,79.63,Asia
328,2017,81.63,77.87,79.5,Asia
329,2016,81.4,77.68,79.34,Asia
330,2021,68.66,64.35,66.54,África
331,2020,69.34,64.86,67.13,África
332,2019,69.31,65.22,67.3,África
333,2018,69.12,64.95,67.07,África
334,2017,68.53,64.55,66.58,África
335,2016,68.3,64.21,66.29,África
336,2021,78.2,71.2,74.6,Europa
337,2020,80.4,73.5,77.0,Europa
338,2019,81.2,74.3,77.8,Europa
339,2018,80.8,73.9,77.4,Europa
340,2017,80.7,73.8,77.3,Europa
341,2016,80.7,73.8,77.3,Europa
342,2021,83.8,77.7,80.7,Europa
343,2020,83.4,77.8,80.6,Europa
344,2019,84.5,78.7,81.6,Europa
345,2018,84.4,78.5,81.5,Europa
346,2017,84.0,78.2,81.2,Europa
347,2016,84.3,78.2,81.2,Europa
348,2021,85.81,80.2,83.03,Europa
349,2020,85.04,79.52,82.28,Europa
350,2019,86.19,80.78,83.53,Europa
351,2018,85.83,80.4,83.15,Europa
352,2017,85.71,80.32,83.05,Europa
353,2016,85.82,80.26,83.08,Europa
354,2021,81.4,72.7,77.2,Europa
355,2020,83.0,74.4,78.9,Europa
356,2019,83.0,74.5,79.0,Europa
357,2018,82.7,74.0,78.5,Europa
358,2017,82.6,73.8,78.4,Europa
359,2016,82.2,73.3,78.0,Europa
360,2021,68.29,61.91,64.98,África
361,2020,68.43,62.52,65.37,África
362,2019,68.8,63.05,65.84,África
363,2018,68.4,62.61,65.41,África
364,2017,67.53,62.29,64.84,África
365,2016,67.34,61.63,64.39,África
366,2021,71.48,67.17,69.27,Asia
367,2020,74.0,70.24,72.12,Asia
368,2019,73.74,69.99,71.87,Asia
369,2018,73.56,69.82,71.69,Asia
370,2017,73.35,69.67,71.52,Asia
371,2016,73.18,69.57,71.39,Asia
372,2021,84.6,79.3,81.9,Europa
373,2020,84.8,79.2,82.0,Europa
374,2019,84.8,79.3,82.1,Europa
375,2018,84.5,79.1,81.8,Europa
376,2017,84.5,78.9,81.7,Europa
377,2016,84.4,78.6,81.5,Europa
378,2021,68.88,65.43,67.11,Oceanía
379,2020,69.74,66.17,67.92,Oceanía
380,2019,69.73,66.13,67.89,Oceanía
381,2018,69.66,66.03,67.81,Oceanía
382,2017,69.66,66.01,67.79,Oceanía
383,2016,69.14,65.45,67.24,Oceanía
384,2021,85.5,79.3,82.4,Europa
385,2020,85.3,79.2,82.3,Europa
386,2019,85.9,79.9,83.0,Europa
387,2018,85.8,79.7,82.8,Europa
388,2017,85.7,79.6,82.7,Europa
389,2016,85.8,79.5,82.7,Europa
390,2021,68.49,63.49,65.82,África
391,2020,69.12,64.26,66.53,África
392,2019,68.87,64.58,66.6,África
393,2018,68.79,64.12,66.31,África
394,2017,68.74,63.95,66.19,África
395,2016,68.0,63.84,65.8,África
396,2021,63.53,60.66,62.08,África
397,2020,64.24,61.02,62.61,África
398,2019,65.19,62.33,63.76,África
399,2018,64.25,61.83,63.04,África
400,2017,64.28,61.71,63.0,África
401,2016,64.26,61.76,63.01,África
402,2021,76.68,66.8,71.69,Asia
403,2020,77.87,67.74,72.77,Asia
404,2019,78.4,69.8,74.1,Asia
405,2018,78.2,69.7,74.0,Asia
406,2017,77.8,69.2,73.5,Asia
407,2016,77.2,68.3,72.7,Asia
408,2021,66.01,61.63,63.8,África
409,2020,66.39,61.9,64.11,África
410,2019,66.83,62.69,64.74,África
411,2018,66.05,62.22,64.12,África
412,2017,65.92,62.12,64.01,África
413,2016,65.87,61.93,63.89,África
414,2021,77.9,72.21,74.94,América
415,2020,77.87,72.21,74.92,América
416,2019,77.83,72.13,74.86,América
417,2018,77.8,72.06,74.81,América
418,2017,77.77,72.01,74.77,América
419,2016,77.81,71.97,74.76,América
420,2021,82.9,77.4,80.2,Europa
421,2020,83.9,78.8,81.4,Europa
422,2019,84.2,79.2,81.7,Europa
423,2018,84.4,79.3,81.9,Europa
424,2017,83.9,78.8,81.4,Europa
425,2016,84.0,78.9,81.5,Europa
426,2021,72.65,66.01,69.24,América
427,2020,75.55,68.26,71.8,América
428,2019,75.81,70.44,73.13,América
429,2018,75.57,69.9,72.73,América
430,2017,75.52,69.61,72.55,América
431,2016,75.39,69.36,72.36,América
432,2021,60.1,57.6,58.89,África
433,2020,60.45,58.11,59.33,África
434,2019,60.82,58.54,59.72,África
435,2018,60.3,58.33,59.35,África
436,2017,60.21,57.93,59.11,África
437,2016,59.69,57.76,58.76,África
438,2021,61.8,57.39,59.65,África
439,2020,62.27,57.61,60.0,África
440,2019,62.87,58.76,60.88,África
441,2018,62.61,58.26,60.5,África
442,2017,62.04,57.97,60.07,África
443,2016,61.78,57.45,59.67,África
444,2021,62.73,58.78,60.59,África
445,2020,62.94,58.81,60.71,África
446,2019,63.54,59.98,61.64,África
447,2018,63.04,59.56,61.19,África
448,2017,62.83,59.05,60.82,África
449,2016,62.33,58.81,60.48,África
450,2021,69.1,62.48,65.67,América
451,2020,72.12,65.08,68.49,América
452,2019,72.66,65.81,69.12,América
453,2018,72.44,65.5,68.9,América
454,2017,72.21,65.3,68.67,América
455,2016,71.88,65.08,68.38,América
456,2021,66.12,60.4,63.19,América
457,2020,67.12,61.13,64.05,América
458,2019,67.33,61.31,64.26,América
459,2018,66.92,61.23,64.02,América
460,2017,66.73,61.09,63.85,América
461,2016,66.24,60.66,63.39,América
462,2021,72.53,67.89,70.12,América
463,2020,73.99,69.13,71.46,América
464,2019,75.37,70.53,72.88,América
465,2018,75.32,70.46,72.81,América
466,2017,75.19,70.35,72.69,América
467,2016,75.08,70.26,72.59,América
468,2021,77.8,70.7,74.3,Europa
469,2020,79.0,72.3,75.7,Europa
470,2019,79.7,73.1,76.5,Europa
471,2018,79.6,72.7,76.2,Europa
472,2017,79.3,72.5,76.0,Europa
473,2016,79.7,72.6,76.2,Europa
474,2021,68.89,65.76,67.24,Asia
475,2020,71.82,68.62,70.15,Asia
476,2019,72.4,69.53,70.91,Asia
477,2018,72.14,69.37,70.71,Asia
478,2017,71.86,69.16,70.47,Asia
479,2016,71.5,68.81,70.12,Asia
480,2021,69.74,65.53,67.57,Asia
481,2020,70.98,66.75,68.81,Asia
482,2019,72.6,68.48,70.52,Asia
483,2018,72.4,68.31,70.34,Asia
484,2017,71.9,68.0,69.94,Asia
485,2016,71.75,67.87,69.8,Asia
486,2021,72.42,68.2,70.38,Asia
487,2020,71.19,66.95,69.12,Asia
488,2019,73.43,69.56,71.58,Asia
489,2018,73.29,69.56,71.51,Asia
490,2017,73.24,67.51,70.41,Asia
491,2016,72.38,65.61,68.99,Asia
492,2021,76.81,71.25,73.88,Asia
493,2020,77.82,72.1,74.83,Asia
494,2019,79.06,73.38,76.1,Asia
495,2018,79.09,73.52,76.2,Asia
496,2017,78.9,73.27,75.97,Asia
497,2016,78.34,73.06,75.6,Asia
498,2021,84.3,80.5,82.4,Europa
499,2020,84.4,80.8,82.6,Europa
500,2019,84.7,80.8,82.8,Europa
501,2018,84.1,80.4,82.2,Europa
502,2017,84.0,80.4,82.2,Europa
503,2016,83.6,79.8,81.7,Europa
504,2021,84.6,81.8,83.2,Europa
505,2020,84.6,81.6,83.1,Europa
506,2019,84.7,81.7,83.2,Europa
507,2018,84.5,81.3,82.9,Europa
508,2017,84.3,81.1,82.6,Europa
509,2016,84.1,80.4,82.2,Europa
510,2021,67.2,63.69,65.27,Oceanía
511,2020,66.88,63.43,64.98,Oceanía
512,2019,66.61,63.23,64.75,Oceanía
513,2018,66.36,63.0,64.5,Oceanía
514,2017,66.12,62.77,64.27,Oceanía
515,2016,65.91,62.56,64.06,Oceanía
516,2021,71.96,68.93,70.35,Oceanía
517,2020,71.8,68.79,70.2,Oceanía
518,2019,71.9,69.03,70.38,Oceanía
519,2018,71.74,68.79,70.17,Oceanía
520,2017,71.58,68.58,69.99,Oceanía
521,2016,71.43,68.37,69.8,Oceanía
522,2021,84.6,80.5,82.5,Asia
523,2020,84.8,80.6,82.65,Asia
524,2019,84.7,81.0,82.8,Asia
525,2018,84.8,80.9,82.8,Asia
526,2017,84.6,80.6,82.55,Asia
527,2016,84.2,80.7,82.41,Asia
528,2021,84.9,80.5,82.7,Europa
529,2020,84.5,80.0,82.3,Europa
530,2019,85.7,81.4,83.6,Europa
531,2018,85.6,81.2,83.4,Europa
532,2017,85.2,80.8,83.1,Europa
533,2016,85.6,81.0,83.4,Europa
534,2021,72.54,68.47,70.5,América
535,2020,73.92,69.82,71.87,América
536,2019,73.87,69.67,71.77,América
537,2018,73.9,69.7,71.79,América
538,2017,73.91,69.92,71.91,América
539,2016,73.92,70.12,72.02,América
540,2021,87.57,81.47,84.45,Asia
541,2020,87.71,81.56,84.56,Asia
542,2019,87.45,81.41,84.36,Asia
543,2018,87.32,81.25,84.21,Asia
544,2017,87.26,81.09,84.1,Asia
545,2016,87.14,80.98,83.98,Asia
546,2021,76.77,72.13,74.26,Asia
547,2020,77.77,72.99,75.18,Asia
548,2019,78.51,73.89,76.04,Asia
549,2018,78.17,73.68,75.77,Asia
550,2017,77.83,73.46,75.5,Asia
551,2016,77.49,73.22,75.22,Asia
552,2021,74.03,66.33,70.23,Asia
553,2020,75.53,67.09,71.37,Asia
554,2019,77.3,68.82,73.18,Asia
555,2018,77.19,68.84,73.15,Asia
556,2017,76.92,68.72,72.95,Asia
557,2016,76.61,67.99,72.41,Asia
558,2021,64.09,58.94,61.43,África
559,2020,65.06,60.37,62.68,África
560,2019,65.28,60.68,62.94,África
561,2018,65.16,60.29,62.68,África
562,2017,64.96,60.09,62.48,África
563,2016,64.2,60.15,62.16,África
564,2021,76.1,67.9,71.9,Asia
565,2020,76.0,67.8,71.8,Asia
